20008,-3696,-1035,1806,0,-3,1,-3,10000,
20992,-3697,-1035,1804,11,2,2,1,10000,
20008,-3706,-1051,1805,16,3,3,5,10000,
20992,-3698,-1029,1783,16,4,-2,5,10000,
20008,-3718,-1031,1828,14,14,3,0,10000,
20992,-3704,-1043,1823,15,0,-1,-3,10000,
20008,-3709,-1040,1786,12,5,-1,-5,10000,
20992,-3705,-1038,1789,13,25,1,-4,10000,
20008,-3719,-1025,1820,8,-1,-1,0,10000,
20992,-3733,-1029,1800,-18,-30,-1,1,10000,
20008,-3707,-1033,1799,-40,-37,2,1,10000,
20992,-3683,-1037,1794,-53,-2,4,0,10000,
20008,-3697,-1041,1815,-53,12,2,-1,10000,
20992,-3698,-1051,1816,-35,-1,1,-2,10000,
20008,-3686,-1061,1793,-9,9,4,-1,10000,
20992,-3692,-1056,1803,14,24,4,-1,10000,
20008,-3698,-1035,1802,28,20,3,0,10000,
20992,-3698,-1021,1794,0,14,6,0,10000,
20008,-3708,-1041,1798,-26,18,6,0,10000,
20992,-3717,-1060,1802,-28,38,5,0,10000,
20008,-3714,-1057,1793,-2,11,2,0,10000,
20992,-3715,-1055,1810,18,-20,-4,-1,10000,
20008,-3727,-1044,1809,38,-24,-5,-4,10000,
20992,-3701,-1035,1817,34,-9,-2,-5,10000,
20008,-3699,-1035,1783,20,-16,-7,-5,10000,
20992,-3696,-1038,1788,13,-12,-5,-4,10000,
20008,-3711,-1044,1793,25,5,-4,-4,10000,
20992,-3690,-1043,1823,54,-1,-7,-4,10000,
20008,-3696,-1033,1817,62,-13,-4,-3,10000,
20992,-3697,-1026,1804,53,9,-1,0,10000,
20008,-3711,-1024,1807,42,12,-2,7,10000,
20992,-3706,-1032,1804,14,-7,-6,14,10000,
20008,-3701,-1023,1833,-10,-6,1,17,10000,
20992,-3703,-1029,1813,-20,20,3,15,10000,
20008,-3702,-1039,1790,-35,-2,-3,7,10000,
20992,-3718,-1023,1813,-43,-5,-2,-1,10000,
20008,-3701,-1031,1844,-21,-6,2,-6,10000,
20992,-3709,-1038,1807,14,-7,2,-3,10000,
20008,-3702,-1044,1793,24,-29,-3,4,10000,
20992,-3698,-1028,1793,-4,-15,4,9,10000,
20008,-3706,-1020,1821,-23,8,7,6,10000,
20992,-3696,-1038,1795,-36,4,7,-1,10000,
20008,-3693,-1042,1809,-49,-5,-1,-9,10000,
20992,-3692,-1042,1793,-54,31,2,-11,10000,
20008,-3698,-1057,1787,-31,27,0,-7,10000,
20992,-3715,-1061,1808,9,-3,-2,-4,10000,
20008,-3712,-1064,1839,45,-3,-9,-6,10000,
20992,-3718,-1037,1813,79,-24,-8,-12,10000,
20008,-3700,-1017,1799,69,-34,-8,-18,10000,
20992,-3708,-1024,1792,34,-7,-2,-19,10000,
20008,-3716,-1020,1807,8,3,-1,-16,10000,
20992,-3703,-1031,1828,4,-23,-3,-10,10000,
20008,-3690,-1033,1803,3,-21,-1,-3,10000,
20992,-3684,-1036,1800,4,20,2,3,10000,
20008,-3702,-1029,1804,17,21,0,9,10000,
20992,-3701,-1031,1795,16,0,2,10,10000,
20008,-3701,-1023,1823,-4,-7,3,7,10000,
20992,-3706,-1031,1782,-32,14,8,0,10000,
21008,-3703,-1040,1805,-40,-7,1,-4,10000,
20992,-3700,-1052,1824,-32,21,4,-4,10000,
20008,-3710,-1045,1817,-4,5,0,0,10000,
20992,-3711,-1034,1809,30,-25,-6,8,10000,
20008,-3698,-1022,1797,27,-26,-2,14,10000,
20992,-3699,-1030,1800,0,11,2,16,10000,
20008,-3690,-1032,1792,-16,14,2,13,10000,
20992,-3700,-1033,1822,-17,0,1,3,10000,
20008,-3707,-1055,1805,-2,0,0,-9,10000,
20992,-3720,-1049,1796,20,16,1,-19,10000,
20008,-3703,-1033,1813,28,-6,-2,-22,10000,
20992,-3712,-1027,1831,13,-23,-4,-18,10000,
20008,-3706,-1034,1801,-12,-2,1,-9,10000,
20992,-3703,-1038,1808,-9,13,3,-2,10000,
20008,-3702,-1041,1795,5,4,-1,0,10000,
20992,-3713,-1039,1810,26,-8,-2,-2,10000,
20008,-3707,-1025,1804,44,-7,-2,-6,10000,
20992,-3696,-1029,1799,34,-18,-6,-7,10000,
20008,-3709,-1024,1794,19,0,0,-3,10000,
20992,-3711,-1022,1804,11,21,2,4,10000,
20008,-3710,-1030,1809,16,-1,-3,10,10000,
20992,-3714,-1029,1821,17,-19,-4,10,10000,
20008,-3705,-1024,1823,18,-8,-1,3,10000,
20992,-3696,-1032,1808,21,-2,0,-5,10000,
20008,-3707,-1008,1838,9,-17,0,-9,10000,
20992,-3695,-1017,1803,-18,3,0,-6,10000,
20008,-3697,-1025,1820,-35,12,2,1,10000,
20992,-3708,-1022,1805,-39,-10,-2,5,10000,
20008,-3693,-1029,1806,-37,-4,3,2,10000,
20992,-3693,-1027,1819,-37,15,1,-4,10000,
20008,-3693,-1033,1813,-29,-4,0,-9,10000,
20992,-3698,-1031,1807,-20,-1,4,-7,10000,
20008,-3704,-1034,1799,-12,13,4,-1,10000,
20992,-3711,-1048,1796,4,14,1,2,10000,
