periodo,acx,acy,acz,gx,gy,gz,cantAngle,altitude,
10,-4040,68,2118,-4,0,-3,-5381,13534,
10,-4028,82,2108,-4,5,1,-5389,13554,
10,-4034,78,2122,-4,3,2,-5398,13575,
10,-4036,76,2109,250,13,0,-5407,13595,
10,-4033,78,2097,253,10,3,-5415,13615,
10,-4032,64,2111,253,13,3,-5424,13635,
10,-4023,72,2139,0,9,0,-5433,13655,
10,-4029,77,2126,253,3,0,-5441,13675,
10,-4026,71,2125,1,2,0,-5450,13695,
10,-4030,78,2116,2,-4,0,-5459,13715,
10,-4023,82,2130,2,-9,254,-5467,13735,
10,-4043,80,2109,2,-11,254,-5476,13754,
10,-4047,79,2110,251,9,-2,-5485,13774,
10,-4023,73,2115,1,12,2,-5493,13794,
10,-4021,82,2108,249,17,2,-5502,13813,
10,-4010,78,2126,0,8,254,-5510,13833,
10,-4024,98,2116,1,1,254,-5519,13853,
10,-4034,78,2131,4,248,252,-5527,13872,
10,-4039,82,2115,2,244,253,-5536,13892,
10,-4051,69,2119,1,241,0,-5545,13911,
10,-4034,80,2120,-3,-13,-4,-5553,13931,
10,-4031,75,2106,0,0,253,-5562,13950,
10,-4026,95,2128,251,6,2,-5570,13969,
10,-4021,67,2138,249,13,-3,-5579,13988,
10,-4028,75,2115,-6,14,254,-5587,14008,
10,-4037,73,2121,3,-8,-4,-5596,14027,
10,-4032,80,2123,5,-9,1,-5604,14046,
10,-4024,68,2122,2,-11,-4,-5613,14065,
10,-4040,80,2115,4,245,253,-5621,14084,
10,-4033,78,2121,4,240,252,-5629,14103,
10,-4026,75,2112,2,-19,-1,-5638,14122,
10,-4031,70,2119,3,-12,-2,-5646,14141,
10,-4035,73,2130,-1,-15,-3,-5655,14160,
10,-4042,76,2114,0,-12,-2,-5663,14179,
10,-4028,82,2125,1,-4,254,-5671,14197,
10,-4035,87,2119,253,2,-3,-5680,14216,
10,-4026,58,2117,-7,12,-5,-5688,14235,
10,-4027,79,2099,-6,10,3,-5696,14253,
10,-4035,77,2119,1,7,1,-5705,14272,
10,-4033,67,2107,0,3,1,-5713,14290,
10,-4025,79,2123,3,246,254,-5721,14309,
10,-4035,67,2108,6,-14,-1,-5730,14327,
10,-4018,86,2129,1,-14,-5,-5738,14346,
10,-4038,68,2116,15,-6,1,-5746,14364,
10,-4038,65,2110,252,0,1,-5755,14383,
10,-4033,83,2117,-3,14,0,-5763,14401,
10,-4033,78,2110,-5,7,2,-5771,14419,
10,-4049,81,2107,-5,11,2,-5779,14437,
10,-4027,74,2106,-3,9,1,-5787,14455,
10,-4025,69,2119,2,1,0,-5796,14473,
10,-4020,77,2114,3,-8,252,-5804,14492,
10,-4019,76,2123,2,245,-2,-5812,14510,
10,-4025,76,2113,4,244,253,-5820,14528,
10,-4032,60,2098,1,240,-1,-5828,14545,
10,-4042,78,2105,3,-12,-3,-5836,14563,
10,-4032,64,2118,1,-15,-3,-5845,14581,
10,-4033,66,2115,254,-2,2,-5853,14599,
10,-4035,80,2128,252,4,0,-5861,14617,
10,-4030,79,2119,-5,11,0,-5869,14634,
10,-4017,73,2116,251,13,1,-5877,14652,
10,-4026,76,2131,-5,12,1,-5885,14670,
10,-4039,71,2116,3,4,-4,-5893,14687,
10,-4028,71,2105,3,-12,-4,-5901,14705,
10,-4031,74,2121,3,239,254,-5909,14722,
10,-4024,69,2123,0,-13,-2,-5918,14740,
10,-4030,71,2125,0,-12,-2,-5920,14757,
10,-4031,75,2096,252,11,-4,-5921,14774,
10,-4027,63,2109,251,10,0,-5921,14792,
10,-4015,71,2133,252,13,0,-5919,14809,
10,-4034,72,2117,2,9,254,-5918,14826,
10,-4033,90,2120,3,5,253,-5919,14843,
10,-4038,85,2115,3,6,1,-5921,14861,
10,-4019,66,2129,1,239,-2,-5920,14878,
10,-4034,76,2123,0,243,-1,-5919,14895,
10,-4027,80,2114,-6,-17,0,-5921,14912,
10,-4028,75,2117,0,243,0,-5921,14929,
10,-4027,78,2116,254,-8,254,-5920,14946,
10,-4031,73,2098,8,0,-4,-5919,14963,
10,-4038,74,2101,254,7,2,-5921,14979,
10,-4027,76,2111,250,11,0,-5919,14996,
10,-4025,76,2111,8,9,-3,-5918,15013,
10,-4033,72,2112,5,5,0,-5922,15030,
10,-4037,73,2120,5,2,1,-5921,15046,
10,-4016,77,2094,3,-14,253,-5918,15063,
10,-4037,68,2116,-3,-9,-3,-5921,15079,
10,-4037,77,2119,-2,247,254,-5921,15096,
10,-4032,76,2099,254,6,0,-5921,15112,
10,-4033,80,2114,-8,12,3,-5921,15129,
10,-4032,78,2105,-5,9,1,-5920,15145,
10,-4020,68,2122,-4,13,1,-5919,15162,
10,-4018,66,2127,1,15,0,-5922,15178,
10,-4030,78,2101,1,3,0,-5920,15194,
10,-4025,70,2103,3,-11,253,-5917,15210,
10,-4023,71,2106,0,-17,-3,-5921,15227,
